epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128.285,0.7486,0.75782,1.11504,0.84933,0.76165,0.85158,0.57957,1.00287,1.0016,1.35032,0.000848969,0.000848969,0.000848969
43,131.164,0.75872,0.77262,1.13247,0.87413,0.85473,0.88222,0.60096,1.02092,0.93187,1.35393,0.000834822,0.000834822,0.000834822
44,134.025,0.76512,0.76461,1.12977,0.77473,0.79283,0.82129,0.53378,1.14606,1.05169,1.42295,0.000820675,0.000820675,0.000820675
45,137.003,0.74511,0.76073,1.10909,0.83682,0.79896,0.83891,0.57134,1.10846,0.97973,1.39946,0.000806528,0.000806528,0.000806528
46,139.837,0.7253,0.71782,1.10809,0.81997,0.80749,0.84157,0.53864,1.15711,0.98591,1.46562,0.00079238,0.00079238,0.00079238
47,142.823,0.71731,0.70042,1.11193,0.84256,0.80669,0.8343,0.56353,1.08462,0.97562,1.42786,0.000778233,0.000778233,0.000778233
48,145.67,0.69687,0.68332,1.09335,0.86829,0.79265,0.80383,0.52446,1.20672,1.01793,1.55975,0.000764086,0.000764086,0.000764086
49,148.514,0.74294,0.71763,1.12611,0.88274,0.79277,0.85352,0.58781,1.09647,0.88871,1.47324,0.000749939,0.000749939,0.000749939
50,151.568,0.74272,0.73346,1.11928,0.80893,0.81662,0.83987,0.5901,1.04264,0.95527,1.38636,0.000735792,0.000735792,0.000735792
51,154.507,0.70205,0.70366,1.10001,0.84387,0.78046,0.80737,0.5779,1.06984,1.01215,1.41968,0.000721645,0.000721645,0.000721645
52,157.362,0.68949,0.69407,1.09858,0.76278,0.79545,0.82167,0.57616,1.03235,1.03018,1.3738,0.000707498,0.000707498,0.000707498
53,160.164,0.71044,0.67397,1.10311,0.85378,0.79393,0.85943,0.59459,1.0493,0.95145,1.38373,0.000693351,0.000693351,0.000693351
54,163.185,0.73895,0.67707,1.13454,0.89509,0.71763,0.84768,0.60449,0.9936,0.9125,1.34127,0.000679204,0.000679204,0.000679204
55,166.086,0.74015,0.69581,1.10796,0.7738,0.78597,0.84815,0.58787,1.02862,0.93106,1.3453,0.000665057,0.000665057,0.000665057
56,169.048,0.73602,0.72752,1.11316,0.8135,0.72874,0.8299,0.57313,1.04326,1.0271,1.33665,0.000650909,0.000650909,0.000650909
57,171.869,0.66678,0.64229,1.08531,0.66483,0.67977,0.74527,0.5196,1.09414,1.25524,1.395,0.000636762,0.000636762,0.000636762
58,174.648,0.68021,0.63714,1.08874,0.83901,0.73093,0.86572,0.61471,0.98321,0.98524,1.30387,0.000622615,0.000622615,0.000622615
59,177.498,0.7094,0.67505,1.11044,0.85645,0.73261,0.82615,0.57729,1.00774,0.96529,1.30519,0.000608468,0.000608468,0.000608468
60,180.322,0.68946,0.67381,1.09312,0.88449,0.81825,0.85883,0.61276,0.98337,0.88193,1.30929,0.000594321,0.000594321,0.000594321
61,183.294,0.6728,0.65851,1.09165,0.91902,0.78304,0.87143,0.62075,0.99812,0.83526,1.34191,0.000580174,0.000580174,0.000580174
62,186.11,0.66178,0.65496,1.09268,0.84226,0.75627,0.82044,0.55715,1.06171,0.98863,1.4213,0.000566027,0.000566027,0.000566027
63,188.92,0.62464,0.57924,1.06066,0.87795,0.80888,0.85714,0.55552,1.10269,0.92248,1.46114,0.00055188,0.00055188,0.00055188
64,191.803,0.67394,0.61642,1.09235,0.85503,0.81664,0.85207,0.56107,1.10168,0.86838,1.45618,0.000537733,0.000537733,0.000537733
65,194.611,0.65811,0.60656,1.08822,0.8896,0.83891,0.87699,0.57573,1.08938,0.86155,1.42036,0.000523586,0.000523586,0.000523586
66,197.453,0.68018,0.6188,1.07877,0.89811,0.80767,0.89552,0.60507,1.02429,0.8439,1.36019,0.000509438,0.000509438,0.000509438
67,200.469,0.61493,0.58661,1.05355,0.88908,0.82211,0.87765,0.59172,1.06317,0.89191,1.37476,0.000495291,0.000495291,0.000495291
68,203.384,0.62796,0.56634,1.05419,0.88057,0.80909,0.86055,0.59794,1.03031,0.85827,1.36328,0.000481144,0.000481144,0.000481144
69,206.159,0.64899,0.61334,1.06846,0.89247,0.82113,0.88117,0.58836,0.99978,0.92451,1.35549,0.000466997,0.000466997,0.000466997
70,208.942,0.65471,0.6114,1.07852,0.88303,0.82887,0.86703,0.60581,0.98667,0.89092,1.31657,0.00045285,0.00045285,0.00045285
71,211.809,0.64744,0.58618,1.06817,0.81144,0.86111,0.87859,0.62149,1.00696,0.80607,1.33447,0.000438703,0.000438703,0.000438703
72,214.749,0.60307,0.5326,1.05262,0.82844,0.84493,0.85756,0.592,1.05199,0.82434,1.374,0.000424556,0.000424556,0.000424556
73,217.914,0.63351,0.54492,1.05748,0.89912,0.79239,0.87682,0.5966,1.02946,0.84632,1.36099,0.000410409,0.000410409,0.000410409
74,220.771,0.60873,0.57009,1.05029,0.90937,0.82371,0.88987,0.63086,0.979,0.79923,1.33345,0.000396262,0.000396262,0.000396262
